Tweets,Date,Username,Number of Retweets,Number of Likes
"Hindi game changer ang INC endorsement, sa totoo lang!!!
Maliit na porsyento lang ang botante nila kumpara sa kabuuang bilang ng botante sa Pilipinas. Hindi rin solid ang block voting na sinasabi nila. 
#PHVote 
#Eleksyon2022 
#Halalan2022",5/4/2022,"randomguy4eber",0,0
"ANO ANG PANATA MO NGAYONG ELEKSYON 2022?

Tatlong araw bago ang #Eleksyon2022, kami sa GMA News and Public Affairs, buong pusong nangangako na iibigin namin ang tama at magiging totoo sa diwa’t serbisyo! 

#eLeksyonSerye #PanatangTotoo #DapatTotoo",5/6/2022,"GMA_PA",18,31
"WATCH: Buong pusong nangangako ang 
@gmanews
 at 
@GMA_PA
 na iibigin nila ang tama at magiging totoo sa diwa’t serbisyo ngayong #Eleksyon2022! Ikaw, ano ang panata mo para sa bayan? 🇵🇭

#eLeksyonSerye #DapatTotoo",5/7/2022,"KapusoUnited",4,8
"3. MAGING MAPANURI. May ilang araw pa tayo para magdesisyon kung sino ang bobotohin. Bilang mamamayan, karapatan at obligasyon nating magdesisyon kung sino ang nais nating pagkatiwalaan sa pamamahala sa bansa. ALAMIN KUNG SINO ANG TOTOO AT KARAPAT-DAPAT.

#Eleksyon2022",5/2/2022,"waypastnine",0,5
"Tatlong araw bago ang #Eleksyon2022, kami sa GMA News and Public Affairs, buong pusong nangangako na iibigin namin ang tama at magiging totoo sa diwa’t serbisyo! 

#eLeksyonSerye #PanatangTotoo #DapatTotoo",5/6/2022,"IWitnessGMA",0,9
"Ngayon ko lang napagtanto, ang baba pala ng standard ng pamunuan ng INC,  imagine nag endorse sila ng sinungaling, magnanakaw at ex convict.. kalurks #Eleksyon2022",5/3/2022,"thirdylicious13",0,0
"Sino ang magnanakaw?
#Eleksyon2022 #Philippines",5/2/2022,"astridfernando",0,0
I'm curious how Iglesia Ni Cristo discern the list of candidates they endorsed. Ano yun pinagdasal tapos puro magnanakaw ang na discern? #INC #eleksyon2022,5/3/2022,"fattotoy",0,2
"Bakit daw ngayon lang? E dati pa silang sinisingil, sila ang nagpapatagal nitong issue. Grabe galawang magnanakaw talaga, sanay na sanay magsinungaling. #BBM #uniteam #eleksyon2022",5/1/2022,"BeVoter",0,0
"PWEDE BUMOTO ANG LAHAT NG REGISTERED VOTERS SA MAY 9. 

✅ VACCINATED MAN O HINDI
✅ KAHIT COVID-19 POSITIVE (may isolated voting precinct)

❌ hindi kailangan ng vaccination card
❌ hindi dapat bumoto ng magnanakaw

MAY KARAPATAN KA BUMOTO!  #Eleksyon2022",5/3/2022,"gabeeyela",0,3
"Hindi deserve ng Pilipinas ang magkaroon ng magnanakaw na pinuno. 
Kaya #Ipana10NatinParaSaLahat 

#LeniKikoAllTheWay2022 
#KulayRosasAngBukas 
#NeverForget 
#NeverAgain 
#Eleksyon2022",5/4/2022,"tata_10_13_1995",0,0
"I'm praying for a peaceful election on May 9. Mahalal sana ang leader na may tunay na malasakit at pagmamahal sa bayan.
#Eleksyon2022",5/3/2022,"iamravenharmony",0,0
"This coming Presidential and Senatorial election, please vote wisely! Please kung gaano kataas yung standard niyo sa pagmamahal sana ganun din sa mga Presidential and Senatorial candidates 😌, don't settle for less Juan Dela Cruz!
#Eleksyon2022 #Pilipinas #VoteWisely2022",5/4/2022,"2010_Fangirl",0,0
"Mag AMEN ka sa Sunday, then boboto ng magnanakaw on Monday? 🤔 #Halalan2022 #Eleksyon2022 #gisingPilipinas #PiliPinas2022",5/6/2022,"darber11",0,0
"Kaloka nitong mga boboto sa magnanakaw, pwede ba kayo na lang magpanakaw, wag nyo na kami isama??? Nakakainis kasi yung ""opinyon ko lang"" na palagi nyong mantra damay kami —tayong lahat. 

Isip-isip din minsan, hindi yung puro nakiki-uso lang for fun. 

#Eleksyon2022 
#PHVote",5/4/2022,"btsloveheals",0,0
"This coming Presidential and Senatorial election, please vote wisely! Please kung gaano kataas yung standard niyo sa pagmamahal sana ganun din sa mga Presidential and Senatorial candidates 😌, don't settle for less Juan Dela Cruz!
#Eleksyon2022 #Pilipinas #VoteWisely2022",5/4/2022,"Ako_SiNICA
",0,0
"Pray. Hope. Claim it.
#KulayRosasAngBukas
#Ipana7oNa10to
Angat Buhay Lahat

VOTE WISELY
TAMA BEHAVIOR
Katoliko
No to MAGNANAKAW BabyM
#Eleksyon2022",5/4/2022,"maysinag",1,3
"Walang “neutral” kung morality at values ang pinaguusapan. Walang “respect my opinion” kung fake news at disinformation ang iyong bukang bibig. Pakiusap, huwag bumoto ng magnanakaw, sinungaling at mamatay tao. Salamat. #Eleksyon2022 #Halalan2022",5/5/2022,"call_me_mark
",0,5
"Huwag maging bulag, pipi, bingi at sunud- sunuran lamang ngayong Mayo 09. Malaya ka. Buksan ang kamalayan. Pag-alabin ang pagmamahal para sa bansa. Manindigan ka, Pilipino! Ngayong #Eleksyon2022, #DapatTotoo. 

#UsapangMaySayCY
#MamaCy971",5/4/2022,"mamacy971",0,0
"I'm really taking this election personal bcuz it is PERSONAL!!! let us vote wisely on May 9. please, para po ito sa ating lahat. ang panalo ni VP Leni & Sen. Kiko ay higit na panalo nating mga mamamayan 🌷🌸💗

#IpanaloNa10To
#LeniKikoUltimateTandem
#Eleksyon2022",5/4/2022,fuckedup4lifers,0,0
"Hinde ba too much yun itakwil mo pamilya mo, talikuran mo mga kaibigan mo na hinde same ng political view mo?  Pag tapos ng election, ano? Panalo nga manok mo, wala ka naman pamilya and kaibigan.

#Eleksyon2022",5/5/2022,"_Chimmy16_",0,0
"COURTESY: Team Kiko/Jimmy Dasal

Bisitahin ang http://eleksyon2022.ph para sa mga balita tungkol sa #Eleksyon2022.",5/7/2022,"gmanews",0,5
"If u want to know who will be the best president, ask those that works in the government. Not the executives but the rank and file employees. Just saying. #Eleksyon2022  #PhilippineElection2022",5/3/2022,"paulwellen",0,0
"literally having election anxiety cause i cant deal with an incompetent government for another six years anymore, to my filo moots pls vote for the most qualified one, we cant let the same corrupt politicians be elected 😭 #AngatBuhayLahat #LeniKiko2022AllTheWay 🌸 #Eleksyon2022",5/4/2022,"mileysalpha",85,365
"They say the government has the power to change our lives, we say: we have the power to change the government. 🇵🇭 (.) #Eleksyon2022",5/6/2022,"rxymb97",0,2
"Ipinapakilala ng PLM Teacher Education Society ang pangalawang speaker para sa webinar na pinamagatang ""KaisaKaBataan: Lakas ng Kabataan sa Eleksyon 2022"" na si Bb. Angelique Ofrasio.

#KaisaKaBataan
#LakasNgKabataan
#Eleksyon2022
#PLMTES2022
#NullifyingTheImpossible",5/3/2022,"plm_tes",0,0
"I hope everyone can know their limits naman sometimes. As a person na undecided sa political field, I always wonder na what would those political candidates feel if they see an offending meme.(I am not defending anyone at this point.) 

#Eleksyon2022 
#society 
#election2022ph",5/1/2022,"svthpppll",0,0
"Congressman and Senator
(Legislative)
Became the Chairman of the Following Committees

Committee on Local Government 
Committee on Urban Planning, Housing and Resettlement
Committee on Public work and Highways
#BBMFORPRESIDENT2022 #Eleksyon2022
#Halalan2022 #PHVote 
✌️❤️🇵🇭💚✌️",5/5/2022,"Lan0601",0,0
This is what mine looks like so far.. Will spend the remaining days before elections to do research on the local government level.. #MANGGAGAWANAMAN #TayoNaman #BagongPulitika #Parañaque #Pilipinas #Halalan2022 #Eleksyon2022,5/3/2022,"HelloRaemond",0,5
"We deserve a transparent, responsible, honest, accountable and competent government. 

I am Allan Robinson, speaking and standing up for the future I dream for my family. 

#piliPINAS #voteWISELY #PHvote2022 #ChooseTheRightOne 
#Eleksyon2022 #TheFilipinoVotes 
#KulayRosasAngBukas",5/4/2022,"Zpaceboy28",0,0
"Hindi man ako naging parte ng 1986 People Power, kasama ako sa 2022 People's Government movement ni Leni Robredo at Kiko Pangilinan. Para ito sa ating lahat. Ilaban na natin hanggang dulo. Para sa bayan, para sa Pilipinas. 🇵🇭
#PHVote 
#Eleksyon2022",5/6/2022,"Dyudeealcantara",28,96
"The Leni-Kiko tandem led the mock election conducted by the Palawan State University - School of Law Student Government.
-ctto PALAWAN STATE UNIVERSITY SCHOOL OF LAW
 #LeniKikoAllTheWay2022
#LeniAngatSaLahat #LeniKikoParaSaLahat #Eleksyon2022",5/6/2022,"ExoticPalawena",0,6
"Dito ka lang talaga sa Pilipinas makakakita ng mga government leaders na sandamukal ang integrity issues.

#Eleksyon2022",5/1/2022,"0wen0924",0,2
"Seriously??? Like may boboto p s Agi/mat na partylist??? 😱😱😱 Never again people. Never again. 

EKIS SA MGA PULITIKONG GINAWA NG KABUHAYAN NG MAG-ANAK ANG POSISYON SA GOBYERNO! #Eleksyon2022 #Halalan2022",5/5/2022,MarkAn2nyManalo,0,0
The National Grid Corporation of the Philippines (NGCP) wants May 9 to 11 declared as holidays for government agencies to ensure power supply will be enough for the transmission of votes in #Eleksyon2022.,5/3/2022,"gmanews",12,27
"Kung gusto mo ng malinis at tapat na gobyerno, you deserve to know Presidential Candidate Leni Robredo . See how simple her life is. https://fb.watch/cOmvrJxXRK/    #Halalan2022  #Eleksyon2022",5/4/2022,"aristosocrato89",4,37
"An open letter of grief from Loren Legarda’s son
https://rappler.com/voices/imho/opinion-open-letter-grief-loren-legarda-son/
#Philippines #PH #Eleksyon2022 #Election2022 #Halalan2022 #PHVote #WeDecide
Fascism:a way of organizing a society in which a government ruled by a dictator. Fascist supports fascism",5/4/2022,"junisidro",0,1
"If elected president in #Eleksyon2022, Senator 
@MannyPacquiao
 on Tuesday said he will prioritize signing an Executive Order allowing him to review all government contracts so that those involved in anomalous transactions may be revealed.",5/3/2022,"gmanews",4,15
"On the “Stand on Issues” page, users will see each candidate’s take on 33 different national issues, allowing for a glimpse on how they would run the Philippine government if they win. #Eleksyon2022",5/5/2022,"gmanews",3,2
"Tiniyak nina Senador Panfilo Lacson at Senate President Vicente Sotto III na tataas ang minimum wage kapag sila na ang namamahala sa gobyerno.

Basahin ang buong ulat dito:

#KabataanSaHalalan #Eleksyon2022",5/3/2022,thepostph,0,0
"Pinag-alab ng nalalapit na #Eleksyon2022 ang diwang kritikal at matapang ng maraming kabataan. Matapos ang naging pananakot at pagpapatahimik sa mamamayan ng nakaraang administrasyong Duterte na lumala pa nitong pandemya, hindi napigil ang daan-daang libong lumalahok sa mga rally",5/3/2022,"STANDBulSU",0,2
"During people's grand rally for madam Leni ba i2 in Cebu?  🥺

@moiradelatorre
 
#LetNellelead 
#Eleksyon2022 
#Ipana7oNa10to https://twitter.com/athenaxenaxx/status/1521745342315651072",5/4/2022,"meisformoira",0,2
"It’s never been about surveys or how many showed up at a rally. Sa totoo lang, what matters is nasan ka ba on May 9? This is all side talk to keep us tweeting #Eleksyon2022",5/4/2022,"SorryPoJPRizal",0,0
"Dumating na si VP Leni Robredo sa Pantao Ragat, Lanao del Norte para dumalo sa Peoples Rally sa lugar ngayong araw. Pormal rin inendorso ng mga lokal na lider ang kandidatura ng Team Angat. | via 
@cyrilchaves
, 
@GMARTVNews
/
@gmanews
 

#GMARegionalTV 
#OneMindanao 
#Eleksyon2022",5/4/2022,"cyrilchaves",18,61
"""Sa bawat Leni na iboboto, siguraduhin natin na ang vice president natin ay si Kiko Pangilinan.  At siguraduhin na ang ating senatorial slate ay isasama n'yo,"" Robredo said in a campaign rally in Zamboanga del Norte. #Eleksyon2022",5/5/2022,"gmanews",129,694
Payday after Pampanga Rally #Eleksyon2022 ,5/3/2022,"thecrybabyme",0,0
"Hindi bawal ang drone shots sa mga rally namin. 🤭😊🌸🌷

#PhVote #Halalan2022
#Eleksyon2022 #LeniKiko2022
#AngatBuhayLahat
#IpanaloNa10ToParaSaLahat",5/1/2022,trezology,0,0
"Nasa Sorsogon Grand Rally: Angat Buhay Bicolandia sina presidential candidate Vice President 
@lenirobredo
 at ka-tandem niyang si Sen. 
@kikopangilinan
 kaninang umaga. Ito ang isa sa tatlong grand rallies na dadaluhan ni Robredo ngayong araw. #Eleksyon2022",5/6/2022,"gmanews",34,422
"Hinarap ni presidential candidate at Vice President 
@lenirobredo
 ang kaniyang mga tagasuporta sa Ozamis City People’s Rally na ginanap sa Misamis University covered court ngayong araw. #Eleksyon2022",5/5/2022,"gmanews",16,201
"Pinag-alab ng nalalapit na #Eleksyon2022 ang diwang kritikal at matapang ng maraming kabataan. Matapos ang naging pananakot at pagpapatahimik sa mamamayan ng nakaraang administrasyong Duterte na lumala pa nitong pandemya, hindi napigil ang daan-daang libong lumalahok sa mga rally",5/3/2022,"STANDBulSU",0,2
"For presidential candidate and Senator Panfilo Lacson, holding his last grand rally in his home province of Cavite is his way of valuing his kababayans’ support despite their local leaders turning their backs on him. #Eleksyon2022",5/6/2022,"gmanews",5,24
Basta ako kahit ano pa mang mga grand rally meron ang kahit sinong kandidato. Mananatili parin ako sa kung sino ang karapat-dapat sa bansa natin. PING-SOTTO at ang kanyang mga senador #choosewisely #NOtounithieves #eleksyon2022 #PING #SOTTO,5/2/2022,"jinky_1919",0,0
"In a well-attended rally in Baguio City, presidential candidate and Vice President 
@lenirobredo
 urged the public to carefully study the characteristics of candidates on May 9 polls to elect right leaders who will work for common good. #Eleksyon2022",5/3/2022,"gmanews",11,141
"Anyareeee na?! Kakaloka! Narinig niyo ba yung sinabi ng bystander? ""nakakatakot"" dahil hindi gumana ang pabebeng #KulayRosasAngBukas nauwi na sa ganyan? Kung basura nga hindi nyo malinis after ng rally tapos gagamit pa ng APOY! Grabeee lang.

#Eleksyon2022
#Halalan2022",5/7/2022,"OMGitsEula",0,0
"Nasa isang prayer rally si presidential candidate Dr. Jose Montemayor Jr. sa Pasay City para sa #Eleksyon2022.

COURTESY: Joey Montemayor Team

Bisitahin ang http://eleksyon2022.ph para sa mga balita tungkol sa #Eleksyon2022.",5/4/2022,"gmanews",1,7
"Aksyon Demokratiko Standard Bearer Manila Mayor 
@IskoMoreno
 at the Townhall Rally in Sogod, Southern Leyte earlier today. | via 
@marizumali
, GMA News

Visit http://eleksyon2022.ph for more updates about #Eleksyon2022.",5/5/2022,"gmanews",2,8
"Bumuhos ang malakas na ulan habang isinasagawa ang “Isagit Nato, Isko!” grand rally ng slate ni presidential candidate Manila Mayor 
@IskoMoreno
 na ginanap sa 3rd Avenue sa Cebu City kagabi. #Eleksyon2022",5/5/2022,"gmanews",3,17
"""LENIWANAG SA DILIM"" - angat buhay lahat. 

I'm so happy sa akong nabuhat na artwork. 💖🌸✨

#LeniLiwanagSaDilim #KakamPINK #LeniKiko2022  #LetLeniKikoLead #LetLeniLead2022 #KikoForVicePresident2022  #Eleksyon2022 #KulayRosaAngBukas #Ipana7oNa10to  #IpanloNa10ParaSaLahat",5/4/2022,"MYecyec",14,36
"Ilalaban namin ang katotohanan at patas na resulta ng botohan. Wala ng mananakawan ng boto, kabuhayan at kayamanan ng bayan! 
#PHVote
#Eleksyon2022",5/6/2022,"Dyudeealcantara",10,38
"Sa Gobyernong Tapat, Angat Buhay Lahat🌸

#LetLeniKikoLead2022 
#Eleksyon2022",5/5/2022,kramyer_marcuss,0,0
"tag nyo na sila. nang mabago na buhay nila.
#WalastikTV #Eleksyon2022 #Halalan2022",5/6/2022,"WalastikTV",1,1
"Kumusta naman kaya yung mga ka-“respect my opinion”? Pwede pa naman magbago ng opinion at pananaw sa buhay.

Choose to side with those who have a clean track record and grab that chance for good governance.
Deserve natin umangat ang buhay at hindi mabaon muli.
#Eleksyon2022",5/3/2022,"migidc",0,0
"Para sayo. Para sa pamilya mo. Para sa mahal mo sa buhay. Para sa Bayan. 

#IpanaloNa10To #LeniKiko2022 #Eleksyon2022",5/4/2022,"heykingsantos",0,2
"Pray. Hope. Claim it.
#KulayRosasAngBukas
#Ipana7oNa10to
Angat Buhay Lahat

VOTE WISELY
TAMA BEHAVIOR
Katoliko
No to MAGNANAKAW BabyM
#Eleksyon2022",5/4/2022,"maysinag",1,3
"F*CK THE PATRIARCHY 💕

Sa gobyernong tapat, angat buhay lahat, at ipapanalo para sa lahat!

#LetLeniLead #KulayRosasAngBukas
 #Eleksyon2022 🇵🇭",5/6/2022,"potatophcare",0,0
"Ang 
@Teatro_LeniKiko
, kasama si idol 
@johnoydanao
, tumitindig para sa isang GOBYERNONG TAPAT, ANGAT BUHAY LAHAT! 🇵🇭 #Halalan2022 #Eleksyon2022 #LeniKikoAllTheWay2022 #KulayRosasAngBukas #AngatBuhayLahat #IpanloNa10ToParaSaLahat #LeniKikoAllTheWay",5/4/2022,"call_me_mark",5,30
"Star Value Q & A Questions + Analyses
Atty (Lawyer) + Dr (Cardiologist)
JOSE MONTEMAYOR JR #8📝
#Eleksyon2022

#AEIOU #Analyses #Educ #Inform #One-on-One #Unscripted

Who Next? Meron Kaya Pumayag?
Good Luck! hehehe 😉
Sa Ating Lahat

BOTO KO 📝 BUHAY KO ",5/4/2022,ramonbayron,1,0
"Magapapalit na ng leader ang pinas in a few days, so ito ang tanong ko... GUMINHAWA MAN LANG BA ANG BUHAY NINYO NITONG MGA NAKARAANG TAON? Kaya mag isip, bumuto ng tama sa Lunes! PAALALA LANG... PILIIN ANG DI KA NANAKAWAN KAHIT NA NAGHIHIRAP ANG BAYAN SA PANDEMYA! #Eleksyon2022",5/6/2022,Bong_Cabrera,0,0
Kung buhay lang ang Mommyt Daddy ko they will surely vote for Leni Kiko! 🎀💖🌷💞#LeniKikoAllTheWay2022 #LeniKikoAllTheWay #Eleksyon2022,5/4/2022,"jessevargasx",0,5
Mga UMALIS o TIWALAG sa Iglesia Ni Cristo Na Celebrities at Non-Active Na Ngayon! #KulayRosasAngBukas Loren Legarda #INC #IglesiaNiCristo Rochelle #CHAEUNWOO Angat Buhay #Ipana7oNa10to VOTE WISELY #Eleksyon2022 Duterte Youth Lahat,5/4/2022,ShowbizPhilipp3,0,0
"5 araw na lang bago ang #Eleksyon2022
 
Para sayo ito!
 
Tandaan ang boto mo ay para sa mga pinakamahahalagang tao sa buhay mo at sa kinabukasan ng bansa.
 
#PILIpinasIkawAtAko  #VoteWisely",5/4/2022,"PIAR6govph",0,0
"On May 9, let's confess our love for the Philippines by voting for the right candidates. 🎀 #PHVote #WeDecide #Eleksyon2022 #Halalan2022 #MyLiberationNotes #MyLiberationNotesEp8",5/3/2022,"wanderingleon",0,1
Alam ko na sino magiging presidente! Pero ayoko nalang magsalita ✨😏 love and peace ✌🏼💕 #Eleksyon2022,5/3/2022,"nellalert",0,0
"Vote for your future!
Do not let anyone force nor affect you
Choose what you want / love
There is no right or wrong choice
All candidates are human,not god.
Not everything that is seen are real

#Halalan2022 #Halalan #votepinas #Election2022 #Eleksyon2022 #eleksyon #boto 👍🇵🇭 #ph",5/6/2022,"xandz34",0,0
"#election2022ph #Halalan2022 #Eleksyon2022 ang hamon ay alamin lang kung sino ba talaga ang kandidatong iboboto. Research, know the moral values and principles. What have they done for the country? Who shows true love for the country? Side with the truth and the righteous.",5/1/2022,"zaza_franz",0,0
"Yung nagpapatrend nito pero kakapink naman talaga ang laman ng trend. 🤣 btw, love you armys for lenikiko!!! Mga tama behavior influenced by our kings! 💜
#KpopForBBM 
#KPopStans4LeniKiko 
#LetLeniKikoLead 
#Eleksyon2022",5/5/2022,"yoongiverse_93",0,1
"I love my VP!💚💚💚Grabe ang intense ng speech nya!😱savage!#BongbongMarcoswillneversleepwiththeenemiesofthestate 👊👊👊✌️Check out 𝗨𝗻𝗶𝘁𝗲𝗮𝗺 𝟮𝟬𝟮𝟮's video!#eleksyon2022 
#TikTok",5/3/2022,"labgeekvyll",0,0
"LOVE AND RESPECT ❤️💚💯

PS. Kahit sino pang Presidente ang boboto mo, hoping na hindi ka manira ng kapwa Filipino mo. At the end of the day ang pag babago magsisimula sa sarili mo. 😉💯

#eleksyon2022
#Halalan2022",5/6/2022,"GabbyAgustin09",0,0
"Nakakataba ang puso ang suporta at pakikipag #DAMAYAN ninyo! 

To our supporters in General Santos City, we are truly thankful for your love and trust! Di po namin ito sasayangin. 

#147DamayanPartylist #DamayanPartyList #147Damayan #Halalan2022 #Eleksyon2022 #Election2022PH",5/4/2022,"DamayanParty",0,0
"I am not judging so don't judge me. We all have equal rights! No one is superior to the other. It's either we made the right choice or we didn't. But whatever happens, just remember ""There are no regrets in life, just lessons.""
#Eleksyon2022 #VoteWisely",5/4/2022,"BFFMiBe0327",0,0
"kabataan ang pag-asa ng bayan, kaya dapat kami ang inyong pakinggan

#Eleksyon2022 
#Votematters 
#VoteWisely 
#F1RSTSERVICES #TALPUEBLOtalGOBIERNO
#YourVoteMatters
#POLITICALliteracy
#MAKINIGsaKABATAAN",5/2/2022,"rvjmyllamas",1,1
"Please don't let them have a seat in office. Those who support Marcos' Malacañan bid are convicted politicians and businessmen that are involved in dubious deals. PLEASE don't let the country fall into the wrong hands. Be smart.
#VoteWisely
#PiliPinas2022
#Eleksyon2022",5/6/2022,"ItsTheRealChazz",0,0
"The winning message is clear:

""Filipino Patriotism and BBM"" 

#Eleksyon2022",4/29/2022,"pinoyanghang",659,3114
"Grabe si Dick Gordon. 😡🤮

#Halalan2022 #Eleksyon2022 ",4/30/2022,"MsGoodGirl_116",19,25
9 days left before #Eleksyon2022 #Halalan2022! Make your vote count by voting wisely. #ChannelMarsy #CampaignTrail2022 #Philippines,4/29/2022,"ChannelMarsy",1,3
"She's just afraid to face Lacson and the rest. Mabubuking ang ""withrawal.""

#Eleksyon2022",4/29/2022,"PhileinSophiaPH",0,0
"In the height of #Eleksyon2022, Bea Gomez chose to wear pink heels as a symbolism of her endorsement of Leni for President. She wears a suit to shout to the whole country that the best man for the job is a woman. We stan, Queen Bea! 🌸🎀 #MissUniversePhilippines2022",4/30/2022,"iamkingmrvn",10,100
"Vote Wisely! 
For the sake of our 
Children and 
for the sake of your 
TAXES! #Eleksyon2022  #Halalan2022",4/30/2022,"chesterwyx",0,0
"Why the Vatican should crackdown on these priests. Priests should not get involved in any public political endorsement. Separation of church and state? Their ministry is to the gospel not to any candidates. Everyone is their flock.
#Eleksyon2022 #Halalan2022",4/30/2022,"RNRomAF",0,0
Your power to vote is your power to make a change! #BilangPilipino2022 #Eleksyon2022 #Halalan2022,4/29/2022,"von_belinario",0,0
"It was both during a woman's Presidency in 2000s and A Dictator's reign in the 70's and 80's that most journalists were killed. So really, no good choice here except whoever wins should uphold freedom of the press, #Eleksyon2022  #Halalan2022",4/30/2022,"RNRomAF",0,0
"Activating the gender card is an admission of weakness. Not of the gender but of the person invoking it.

Hindi naman pinagbbawal ang pagtakbo ng kababaihan sa halalan para mamuno. Becoz if that's the case, dun mo lang iinvoke ang gender card.

#Eleksyon2022 
#PampangaForBBMSARA",4/29/2022,"PhileinSophiaPH",0,0
"Could have been political or social issues. Very relevant siya since #Eleksyon2022

#MissUniversePhilippines2022",4/30/2022,"thenixxreyes",0,0
"each camp accusing each other of doing ""hakot"" to attend rallies as if it's  not mutual in both camps. the toxicity between leni and bbm camps is pathetic.

#Eleksyon2022",4/29/2022,"Cassini0901",0,0
"Spox vs. Spox na lang!
#Eleksyon2022",4/29/2022,"Harperblammo",0,2
"What Should You Do on May 9? 
Here are some suggestions for a stress-free voting experience. The SK Gensan provides a step-by-step guidance on how to vote within the polling place.
#Eleksyon2022 #May2022 #Pilipinas",4/29/2022,"SKGeneralSantos",1,2
"Please include Dr. 
@MinguitaPadilla
 in your list of senators. We need new names. We need a doctor in the senate so we can strengthen our healthcare system in the country. #philippines #ph #Eleksyon2022 #Halalan2022",4/29/2022,"GleenMayer",0,0
"27 Years of Public Service #bongbongmarcos #UNiTeamBBMSARA #BBMIsMyPresident2022 #BagongPilipinas #Halalan2022 #Eleksyon2022 #Philippines #Luzon #Visayas #Mindanao #Kakampink ✌🏼♥️💚🇵🇭 #pinklawans",4/29/2022,"NorikaClem",0,0
"How will you convince me, an undecided voter, to vote for YOUR presidentiable?

#Halalan2022 
#Eleksyon2022",4/30/2022,"rosensteelelord",0,0
"It wouldn't hurt to listen to this 😊 whatever side you may support, her words here apply for all

#VoteWisely #Eleksyon2022 #ParaSaKinabukasan",5/1/2022,"adrianne_yes",2,4
Survey. What are you guys voting for party list? #Eleksyon2022 #Halalan2022,4/30/2022,"tiranusorusreks",2,2
"I don’t give credence on daily reporting of rallies as it is not a barometer in winning the election. Messaging is always the key and right momentum to get actual traction. And surveys says it all. 

So abangers nalang tayo sa araw ng eleksyon ! 

#Eleksyon2022",4/30/2022,"dennilay",0,0
"What makes a wise voter?

-A wise voter is involved
-A wise voter is a researcher
-A wise voter is a critical thinker
-A wise voter knows the power of voting

Exercise your right to vote!!!

#Eleksyon2022 #STIMadetoBeMore",4/30/2022,"STIBalayan",0,0
"Election paraphernalia delivery almost complete: Comelec

https://bit.ly/3vsyl0O

#Eleksyon2022
#BlackPearlConsultancyPH
#BlackPearlGovernanceAndLegislation",4/29/2022,"BlackPearl_Inc",0,0
Isang linggo na lang. We will have a new President. #Eleksyon2022,4/30/2022,"vincecards",0,0
"Representing Our Next Philippine President 
@lenirobredo
 !! 

FILIPINO BARBZ 4 LENI 🎀🌸!

#LetLeniLead2022 
#LetLeniLead 
#LeniRobredoForPresident 
#Philippines 
#President
#Eleksyon2022",4/29/2022,"mm_catiil",0,0
"Today's Visayan Business Post, out now! http://newspaper.visayanbizpost.com/?edition_id=374c7420-c87c-11ec-95c4-fa163eed9ef2 Thanks to 
@manilabulletin
 
@gmanews
 
@ABSCBNNews
 #eleksyon2022 #voteph",4/30/2022,"Visayanbizpost",0,0
"The reason why I am for #BBM, he is so focus to achieve his goal without being distracted by all types of basher and haters. I admire him for he doesn't give much attention to respond to every criticism he's opponents throws at him. #Eleksyon2022 #Halalan2022",4/30/2022,"elzyl",0,1
"There are 10 days left before the #Eleksyon2022 but it's not too late to do your fact-checking, Escolarians.

To make sure that you won't get fooled and overwhelmed by the influx of information you absorb online, here are credible websites you can use to fact check. 💯",4/29/2022,"CEUmanila
",10,31
"Funny but 10 days to go and here comes #Leni, forever nailed to far 2nd in all surveys, challenging #BBM, the runaway leader, to a debate? I didn't know Mr. Bean is a woman. #Halalan2022
#BilangPilipino2022 #Eleksyon2022 #PhVote      
@PhilstarNews",4/29/2022,"JstToTheQuick",7,13
"if i-callout gali ka for spreading ""fákè nèws"" isnt it the opportune time to prove them wrong by citing your sources that will debunk their claims? Mu-cry foul man nuon tas mag sourgraping. Kalouy ba. pathetic ra kaayo. 😂

#Eleksyon2022",4/30/2022,"Cassini0901",1,1
"What will you do differently today in order to change your and your children's tomorrow?

VOTE 
@IskoMoreno
 FOR PRESIDENT!

#IbaNaman #SwitchToIsko
#PeaceOfMind #IskoMoreno
#Halalan2022 #WeDecide #Eleksyon2022 #PHVote 
#Switch #Isko #GodFirst ☝️💙",4/30/2022,"Isko2022
",5,8
Duque: No indication that there will be a lockdown after #Eleksyon2022,4/30/2022,"gmanews",20,38
"True. Every time I ask my witnesses (police officers) who is their president, they always reply BBM with victory sign. And when I tell them they should be neutral, they answer ""we are not campaigning fiscal.' Tama naman.😁  #Eleksyon2022",5/1/2022,"KimIndar",18,141
"Im so excited for May. Im excited to watch #Wanda in #MultiverseOfMadness. Im excited for #Eleksyon2022 to vote for LeniKiko, im excited for them to win. Im excited for my friend's bridal shower. Im excited for my dad's birthday. Im excited for a lot of other things too. Lezzgow!",4/30/2022,"tiranusorusreks",3,2
"Gloc-9 vs. Andrew Eww
Rap Battle na lang!
#Eleksyon2022",4/29/2022,"Harperblammo",0,1
Bongbong camp turns down Robredo's debate challenge #Eleksyon2022,4/29/2022,"gmanews",16,28
"Follow your heart and opinion ❤️
There is no need to fight and argue with anyone... Own choice, own decision!
No right, no wrong answers

#halalan2022
#Eleksyon2022

Nakakuha ako ng 5 na tamang sagot mula sa 5 tanong. Subukan mong higitan ang marka ko rito",4/29/2022,"xandz34",0,0
